Model_Name,IaC_Tool,Security_Smell,GLITCH_FP,Filtered_FP,Lost_TP,LLM_Filter_Precision,LLM_Filter_Recall,LLM_Filter_F1,TP_Loss_Rate,FP_Retention_Rate
GPT-5-Chat,ansible,Hard-coded secret,11,7,1,0.875,0.6363636363636364,0.7368421052631579,12.5,36.4
GPT-5-Chat,ansible,Suspicious comment,2,0,2,0.0,0.0,0.0,33.3,100.0
GPT-5-Chat,ansible,Use of weak cryptography algorithms,0,0,0,0.0,0.0,0.0,0.0,0.0
GPT-5-Chat,ansible,Use of HTTP without TLS,1,0,0,0.0,0.0,0.0,0.0,100.0
GPT-5-Chat,chef,Hard-coded secret,37,26,2,0.9285714285714286,0.7027027027027027,0.7999999999999999,22.2,29.7
GPT-5-Chat,chef,Suspicious comment,6,6,0,1.0,1.0,1.0,0.0,0.0
GPT-5-Chat,chef,Use of weak cryptography algorithms,1,1,0,1.0,1.0,1.0,0.0,0.0
GPT-5-Chat,chef,Use of HTTP without TLS,5,0,0,0.0,0.0,0.0,0.0,100.0
GPT-5-Chat,puppet,Hard-coded secret,57,51,0,1.0,0.8947368421052632,0.9444444444444444,0.0,10.5
GPT-5-Chat,puppet,Suspicious comment,14,7,0,1.0,0.5,0.6666666666666666,0.0,50.0
GPT-5-Chat,puppet,Use of weak cryptography algorithms,3,1,0,1.0,0.3333333333333333,0.5,0.0,66.7
GPT-5-Chat,puppet,Use of HTTP without TLS,6,0,0,0.0,0.0,0.0,0.0,100.0
Claude-Sonnet-4,ansible,Hard-coded secret,11,9,2,0.8181818181818182,0.8181818181818182,0.8181818181818182,25.0,18.2
Claude-Sonnet-4,ansible,Suspicious comment,2,0,2,0.0,0.0,0.0,33.3,100.0
Claude-Sonnet-4,ansible,Use of weak cryptography algorithms,0,0,0,0.0,0.0,0.0,0.0,0.0
Claude-Sonnet-4,ansible,Use of HTTP without TLS,1,1,0,1.0,1.0,1.0,0.0,0.0
Claude-Sonnet-4,chef,Hard-coded secret,37,36,4,0.9,0.972972972972973,0.935064935064935,44.4,2.7
Claude-Sonnet-4,chef,Suspicious comment,6,6,0,1.0,1.0,1.0,0.0,0.0
Claude-Sonnet-4,chef,Use of weak cryptography algorithms,1,1,0,1.0,1.0,1.0,0.0,0.0
Claude-Sonnet-4,chef,Use of HTTP without TLS,5,0,0,0.0,0.0,0.0,0.0,100.0
Claude-Sonnet-4,puppet,Hard-coded secret,57,57,1,0.9827586206896551,1.0,0.9913043478260869,11.1,0.0
Claude-Sonnet-4,puppet,Suspicious comment,14,11,0,1.0,0.7857142857142857,0.88,0.0,21.4
Claude-Sonnet-4,puppet,Use of weak cryptography algorithms,3,1,1,0.5,0.3333333333333333,0.4,25.0,66.7
Claude-Sonnet-4,puppet,Use of HTTP without TLS,6,0,0,0.0,0.0,0.0,0.0,100.0
Grok-4-Fast,ansible,Hard-coded secret,11,5,1,0.8333333333333334,0.45454545454545453,0.5882352941176471,12.5,54.5
Grok-4-Fast,ansible,Suspicious comment,2,0,3,0.0,0.0,0.0,50.0,100.0
Grok-4-Fast,ansible,Use of weak cryptography algorithms,0,0,0,0.0,0.0,0.0,0.0,0.0
Grok-4-Fast,ansible,Use of HTTP without TLS,1,1,0,1.0,1.0,1.0,0.0,0.0
Grok-4-Fast,chef,Hard-coded secret,37,15,4,0.7894736842105263,0.40540540540540543,0.5357142857142857,44.0,59.5
Grok-4-Fast,chef,Suspicious comment,6,6,0,1.0,1.0,1.0,0.0,0.0
Grok-4-Fast,chef,Use of weak cryptography algorithms,1,1,0,1.0,1.0,1.0,0.0,0.0
Grok-4-Fast,chef,Use of HTTP without TLS,5,0,0,0.0,0.0,0.0,0.0,100.0
Grok-4-Fast,puppet,Hard-coded secret,57,39,0,1.0,0.6842105263157895,0.8125000000000001,0.0,31.6
Grok-4-Fast,puppet,Suspicious comment,14,8,0,1.0,0.5714285714285714,0.7272727272727273,0.0,42.9
Grok-4-Fast,puppet,Use of weak cryptography algorithms,3,1,1,0.5,0.3333333333333333,0.4,25.0,66.7
Grok-4-Fast,puppet,Use of HTTP without TLS,6,0,0,0.0,0.0,0.0,0.0,100.0
